"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Negative Regulation Of T Cell Mediated Immunity (GO:0002710)","3/14",0.00102490151603998,0.0207704724959495,0,0,18.3941469489415,126.609833574106,"PTPRC;CD80;FOXP3"
"B Cell Proliferation (GO:0042100)","4/31",0.00106599645909599,0.0211942453804688,0,0,10.0180730558737,68.5621419472204,"PTPRC;CD19;MS4A1;GAPT"
"Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117)","5/53",0.00108552662161052,0.0211942453804688,0,0,7.06070402298851,48.1941771547684,"CST2;LAMP3;IFI6;CST7;CST4"
"Positive Regulation Of Chemokine Production (GO:0032722)","5/53",0.00108552662161052,0.0211942453804688,0,0,7.06070402298851,48.1941771547684,"CD84;OAS1;OAS3;TLR7;LCP1"
"B Cell Mediated Immunity (GO:0019724)","3/15",0.00126720740554222,0.0238682241914482,0,0,16.8604452054795,112.475013161217,"CD19;IL21R;IL9R"
"Dendritic Cell Chemotaxis (GO:0002407)","3/15",0.00126720740554222,0.0238682241914482,0,0,16.8604452054795,112.475013161217,"CCR1;CXCR4;CCR5"
"Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339)","3/15",0.00126720740554222,0.0238682241914482,0,0,16.8604452054795,112.475013161217,"OAS1;OAS3;ISG15"
"Negative Regulation Of Cytokine Production (GO:0001818)","9/178",0.00134374837734346,0.025015594792173,0,0,3.63768775603095,24.0534546431452,"CD84;PTPRC;LEF1;FN1;LAPTM5;PTPN22;INHBA;EZR;FOXP3"
"Regulation Of NIK/NF-kappaB Signaling (GO:1901222)","6/83",0.00142741283161839,0.0262676775105867,0,0,5.29223026108839,34.6741194266603,"CD86;RTKN2;LAPTM5;PTPN22;TLR7;EZR"
"Regulation Of Calcium Ion Transport (GO:0051924)","5/57",0.00150988638580367,0.0274430332434721,0,0,6.51624668435013,42.3277195957788,"CCR1;CD84;PLPP4;FCRL3;F2R"
"Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081)","3/16",0.00154270642842754,0.0274430332434721,0,0,15.5626975763962,100.756280965295,"SEMA7A;CAMK4;LAPTM5"
"Regulation Of B Cell Receptor Signaling Pathway (GO:0050855)","3/16",0.00154270642842754,0.0274430332434721,0,0,15.5626975763962,100.756280965295,"FCRL3;PTPN22;CD22"
"Positive Regulation Of Type II Interferon Production (GO:0032729)","5/58",0.00163270271561925,0.0287248027220485,0,0,6.39297332465843,41.0270247700074,"CD2;PTPN22;TLR7;ISG15;IL12RB1"
"Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960)","5/59",0.00176269828892647,0.0303459785227856,0,0,6.2742656449553,39.7845507920493,"PTPRC;OAS1;OAS3;PYDC1;ISG15"
"Cellular Response To Molecule Of Bacterial Origin (GO:0071219)","7/117",0.00176275827771334,0.0303459785227856,0,0,4.32970328282828,27.4541094400707,"CD86;CXCL10;CXCL11;CXCL9;CARD17P;CD80;CCR5"
"Negative Regulation Of T Cell Proliferation (GO:0042130)","4/36",0.00188364785646896,0.0320821299809234,0,0,8.45060137457045,53.0236788806788,"CD86;SPN;CD80;FOXP3"
"Regulation Of Glomerular Filtration (GO:0003093)","2/5",0.00210547295360391,0.0338588034847969,0,0,44.8282138794084,276.285927199675,"F2R;PTPRO"
