"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",0.06,0.0982746051032807,0.261663521711573,-0.243750317103862,-1.24271800244354,199,"LPL;CAVIN2;SORBS1;LIFR;SLC27A1;CAVIN1;ITGA7;PEMT;LIPE;STAT5A;LEP;FABP4;PPARG;ITIH5;LAMA4;CDKN2C;PGM1;HADH;ANGPT1;GPHN;GPAM;ADCY6;CD36;CIDEA;ETFB;MTARC2;ACADS;ACADL;MYLK;SNCG;ADIPOQ;MRAP;PHLDB1;ANGPTL4;SCARB1;EPHX2;SPARCL1;GPX3;FZD4;ATL2;ARL4A;NDUFB7;HIBCH;SUCLG1;CD302;ECH1;PEX14;RETSAT"
"KEGG_RNA_POLYMERASE",0.0599613152804642,0.0982746051032807,0.257206466468838,0.398930452452885,1.40112791776702,29,"POLR2K;POLR3K;POLR2B;POLR2D;POLR3F;POLR2G;POLR1H;POLR2J;POLR2H;POLR3C;POLR3A;POLR2C"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.0602129993448627,0.0985037901903822,0.321775918075361,0.520457385867063,1.51917009076037,15,"YWHAZ;YWHAQ;YWHAH;YWHAB"
"REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.0606060606060606,0.0990266299357209,0.261663521711573,-0.428015361123818,-1.43175831628204,23,"SYN2;STXBP1;PPFIA4;UNC13B;APBA1"
"REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS",0.0608519269776876,0.0993079873679454,0.261663521711573,-0.313130266371437,-1.33787173404051,64,"FGF10;LAMA3;CLDN10;LAMB3;LAMC3;FGF2;LAMC1;COL11A2;CER1;COL27A1;LAMA4;AQP1;ANXA3;CPA1;CFTR;LAMB2;PROM1;AMY2A;COL5A3;ANXA1;VTN;KRT17;ERICH5;YAP1;LAMA1;SOX17;PDIA2;LAMA2;SLC4A4"
"REACTOME_FORMATION_OF_THE_EMBRYONIC_STEM_CELL_BAF_ESBAF_COMPLEX",0.0613496932515337,0.0999935093233933,0.261663521711573,0.464678464790193,1.45523270605002,19,"ACTB;SS18;BCL11B;ARID1A;ACTL6A;SMARCD1;SMARCB1;DPF2;SMARCE1;SMARCA4;SMARCC1;BCL7A;SMARCD2;BCL7B"
"REACTOME_SIGNALING_BY_ERBB2",0.0614203454894434,0.0999935093233933,0.252961123069611,0.348147229976073,1.3908059090683,50,"ERBIN;KRAS;NRAS;CUL5;DIAPH1;RHOA;GRB2;GRB7;SRC;HSP90AA1;USP8;PTPN12;STUB1;UBC;ERBB2;PTK6;ERBB3;AKT1;NRG4;MEMO1;SHC1;UBB"
"KEGG_PHENYLALANINE_METABOLISM",0.064,0.104067551266586,0.252961123069611,-0.472580627794778,-1.45302793210602,17,"TAT;MAOA;MAOB;AOC3"
"REACTOME_DEPOLYMERIZATION_OF_THE_NUCLEAR_LAMINA",0.0648194140916097,0.105272976139144,0.287805130535564,0.517614736038787,1.5108726417955,15,"CCNB1;CDK1;CNEP1R1;PRKCB;TMPO;LEMD3;LMNB1;LPIN2"
"KEGG_MAPK_SIGNALING_PATHWAY",0.0649606299212598,0.105327989410207,0.248911114434702,0.235598515566584,1.24386997074519,241,"CASP3;KRAS;MAP3K2;CACNG4;RAP1B;NRAS;TGFB1;RAC2;PLA2G2D;HSPA8;NFATC2;DUSP10;PTPN7;MAPKAPK2;TNF;MAPK9;STK4;HSPB1;DUSP5;CACNA1I;RASGRP1;DUSP2;RAP1A;MAP4K1;CDC42;FASLG;MAPK8IP2;RASGRF1;PAK2;PAK1;GADD45B;STMN1;PRKCB;IL1B;RPS6KA1;CHUK;RAC1;ATF2;ELK1;MAP3K7;GRB2;NFKB1;TGFBR1;DAXX;PRKACB;RPS6KA4;PLA2G2A;CACNB3;ELK4;MAX;CACNA1E;TAOK3;MAPKAPK3;DUSP16;HSPA6;DUSP8;RELA;TGFB2;RELB;FGF18;FGFR3;CACNA1H"
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION",0.0650095602294455,0.105327989410207,0.245041785430996,0.331825442064326,1.37893235711278,59,"ID2;PPP2CA;REST;MAPKAPK2;TRIB1;JUNB;SGK1;RPS6KA1;CDK5;ATF2;ELK1;VGF;CHD4;CREB1;ATF1;TCF12;MEF2D;VRK3;PPP2R1A;MAPK1;DNM2"
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION",0.0652591170825336,0.105605389948686,0.245041785430996,0.421349132226222,1.43267601814605,25,"HELZ2;NAMPT;SERPINE1;NCOA2;TBL1XR1;F7;BHLHE40;TGS1;MED1;BMAL2;NOCT;CLOCK;CARM1;NCOA6"
"KEGG_THYROID_CANCER",0.0657640232108317,0.106294848067387,0.245041785430996,0.395207230933259,1.38805117824237,29,"KRAS;LEF1;TPM3;NRAS;CCDC6;TFG"
"HALLMARK_HYPOXIA",0.065843621399177,0.106296049875558,0.252961123069611,0.243434146600006,1.2406844297026,193,"BGN;CXCR4;CCN1;SERPINE1;PLAC8;ISG20;PLAUR;LOX;HAS1;SLC6A6;LXN;TPD52;CA12;TIPARP;COL5A1;CDKN1A;HSPA5;AMPD3;TNFAIP3;SIAH2;IER3;PGK1;KLF6;CDKN1B;EDN2;NAGK;HMOX1;HK1;FAM162A;ALDOA;CCN2;TMEM45A;TPBG;VHL;ERO1A;SDC4;IDS;GLRX;SLC2A1;PIM1;P4HA1;BHLHE40;MIF;B4GALNT2;TPI1;CASP6;GAPDH;PGM2;P4HA2;GAA;HEXA"
"REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA",0.0663900414937759,0.107049971212452,0.252961123069611,0.281730345408516,1.29537296680616,109,"HELZ2;NCOA3;TXNRD1;MED14;TRIB3;ABCB4;MTF1;MED8;NCOA2;MED21;SP1;CCNC;TBL1XR1;AHR;GLIPR1;NFYA;MED23;THRAP3;MED19;ARNT2;MED18;TGS1;SIN3A;MED13;AGT;MED17;MED7;HMGCR;ANKRD1;MED1;NFYB;MED30;MED10;CDK19;MED13L"
"REACTOME_FIBRONECTIN_MATRIX_FORMATION",0.0670731707317073,0.108022263018329,0.248911114434702,0.455800691881193,1.44426390134489,20,"FN1;CEACAM6;COL1A2;COL5A1;COL1A1;COL5A2;COL3A1"
"REACTOME_SIGNALING_BY_ALK",0.0676982591876209,0.108898870387724,0.241339976815091,0.393903913568579,1.38347365267586,29,"PTPN6;IL2RG;PRDM1;MDK;HIF1A;HDAC1;SRC;SIN3A;PIK3CB;JAK3;DNMT1;CD274;FRS2;SHC1;HDAC2"
"REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS",0.0679611650485437,0.10919147852853,0.241339976815091,0.387408214161823,1.38381979788435,31,"KRAS;STAT1;GRAP2;HCK;GRB2;LYN;SRC;PIK3CB;UBC;PIK3CD;INPPL1;SHC1;UBB;CBL;INPP5D"
"REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE",0.0693069306930693,0.111221122112211,0.241339976815091,-0.466101748995189,-1.46260397520502,18,"SYN2;STXBP1;PPFIA4;UNC13B"
"REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES",0.0694444444444444,0.111309287884793,0.241339976815091,-0.446420066557862,-1.45809974450357,21,"GRIN2B;GRIA4;DLG4;GRIA3;GRIN2A;PTPRS;FLOT2;GRIA1"
"REACTOME_ION_HOMEOSTASIS",0.0700636942675159,0.112168479658683,0.248911114434702,-0.32973345237765,-1.33893351166315,51,"RYR3;ATP1A2;FXYD1;CASQ2;ATP1B2;TRDN;ASPH;FXYD6;RYR1;ITPR1;NOS1;STIM1;TRPC1;ITPR2;PRKACA;PLN;FXYD2;FXYD7;ATP2B4;SLC8A3;DMPK;ABCC9"
"REACTOME_RHOBTB1_GTPASE_CYCLE",0.0710059171597633,0.113542083429847,0.237793834423688,0.431073295642558,1.42171488359985,23,"CUL3;RBBP6;CCT2;HNRNPC;TRA2B;COPS4;CCT7;COPS2;DBN1;MYO6;ROCK1;TXNL1;STK38;RHOBTB1;RBMX"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",0.0713926229131638,0.114025184463205,0.287805130535564,0.260974827476319,1.279827922,152,"ELOC;PSMA5;PSMC2;PSMA6;PSMA4;PSMA2;EIF4A3;ETF1;RPS27L;PSMD6;GSPT1;PSMA1;PSMD14;PSMD12;PSMB4;PSMD1;ELOB;PSMB1;CUL2;PSMA3;RBX1;PSMD2;PSMB2;PSMC6;RPL26L1;MAGOH;ADRM1;PSMC4;PSMD7;PSMA7;ROBO2;RNPS1;PSMB3;MAGOHB;EIF4G1;NCBP2;SEM1;PSMB5;RPL39L;PSMD8;PSMD11;RBM8A;PSMD3"
"REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA",0.0723140495867769,0.115360164311213,0.241339976815091,-0.3350336591264,-1.33936809249829,48,"KCNQ4;OTOGL;CDH23;GSN;TRIOBP;KCNMB1;CLIC5;SPTBN1;CIB2;PJVK;TMC1;MYO1C;ESPNL;STRC;TMIE;SPTAN1;TMC2;MYO3A;SLC26A5"
"REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY",0.0736434108527132,0.11734198324995,0.231126709673834,0.402714192961325,1.39846678426585,27,"VAV3;TRIB3;PAK2;PAK1;RAC1;PDPK1;VAV1;RICTOR;VAV2;HSP90AA1"
