"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"VEGF signaling pathway","1/59",0.584392228947719,0.918330645489273,0,0,1.15218156228008,0.618932229129793,"RAC2"
"Notch signaling pathway","1/59",0.584392228947719,0.918330645489273,0,0,1.15218156228008,0.618932229129793,"DTX3L"
"Glycerolipid metabolism","1/61",0.59659824374392,0.924529057715065,0,0,1.11366213151927,0.575219131752946,"PLPP4"
"Rap1 signaling pathway","3/210",0.601308813408758,0.924529057715065,0,0,0.96773873337304,0.49223705879271,"FYB1;F2R;RAC2"
"Fluid shear stress and atherosclerosis","2/139",0.610442050769316,0.924529057715065,0,0,0.97496325452779,0.481214476566715,"RAC2;SDC1"
"Acute myeloid leukemia","1/67",0.631113875704973,0.924529057715065,0,0,1.01211090496805,0.465843237778199,"LEF1"
"Long-term potentiation","1/67",0.631113875704973,0.924529057715065,0,0,1.01211090496805,0.465843237778199,"CAMK4"
"Fc epsilon RI signaling pathway","1/68",0.636573215467334,0.924529057715065,0,0,0.99695400548279,0.450280098161191,"RAC2"
"Breast cancer","2/147",0.640836239679884,0.924529057715065,0,0,0.920795574908791,0.409736840519811,"WNT7B;LEF1"
"Amphetamine addiction","1/69",0.641952029099639,0.924529057715065,0,0,0.982242897158864,0.435371010677909,"CAMK4"
"Renal cell carcinoma","1/69",0.641952029099639,0.924529057715065,0,0,0.982242897158864,0.435371010677909,"TGFB1"
"Prolactin signaling pathway","1/70",0.64725150030612,0.924529057715065,0,0,0.967958197771862,0.421081506607262,"STAT1"
"p53 signaling pathway","1/73",0.662685438952786,0.924529057715065,0,0,0.927484882842026,0.381618155605822,"PMAIP1"
"Oxytocin signaling pathway","2/154",0.665877253029798,0.924529057715065,0,0,0.878076163104006,0.357069610426009,"CAMK4;CACNG4"
"Cushing syndrome","2/155",0.669337664391583,0.924529057715065,0,0,0.872292489236878,0.350196313951355,"WNT7B;LEF1"
"Thyroid hormone synthesis","1/75",0.672598953315564,0.924529057715065,0,0,0.902325795182938,0.357867856676188,"ATP1A3"
"Glioma","1/75",0.672598953315564,0.924529057715065,0,0,0.902325795182938,0.357867856676188,"CAMK4"
